actorid,name,date_of_birth,birth_city,birth_country,height_inches,biography,gender,ethnicity,networth
1844,Adoni Maropis,1963-07-20,Pittsburgh,USA,69,"Adoni has been blessed with the opportunity to play many diverse and memorable acting roles, such as: the lead villain, Fayed, in Season 6 of the Fox critically acclaimed hit series 24 (2001) with Kiefer Sutherland, the flamboyant evil sorcerer, Quan Chi, in the TV show Mortal Kombat: Conquest (1998), the regal falcon-man, Sakr, in the feature ...",Male,Greek,1700000
433,Adrian Dunbar,1958-08-01,Enniskillen,UK,61,"Adrian Dunbar was born on August 1, 1958 in Enniskillen, Co. Fermanagh, Northern Ireland. He is an actor, known for The Crying Game (1992), Hear My Song (1991) and Line of Duty (2012). He has been married to Anna Nygh since 1986. They have one child.",Male,White,20000000
1951,Adrian Grenier,1976-07-10,Santa Fe,USA,61,"Adrian Grenier was born on July 10, 1976 in Santa Fe, New Mexico, USA as Adrian Sean Grenier. He is an actor and producer, known for Entourage (2004), The Devil Wears Prada (2006) and Entourage (2015).",Male,White,12000000
1821,Adrian Rawlins,1958-03-27,Stoke-on-Trent,UK,69,"Adrian Rawlins was born on March 27, 1958 in Stoke-on-Trent, Staffordshire, England. He is an actor, known for Harry Potter and the Deathly Hallows: Part 2 (2011), Harry Potter and the Goblet of Fire (2005) and Wilbur Wants to Kill Himself (2002).",Male,White,5000000
1809,Adrian Ricard,1924-08-07,New York City,USA,,"Adrian Ricard was born on August 7, 1924 in the USA. She was an actress, known for I, Robot (2004), Bulworth (1998) and Simon Simon (1981). She died on December 29, 2016.",Female,White,5000000
2263,Adrian Scarborough,1968-05-10,Melton Mowbray,UK,64,"Adrian Scarborough was born on May 10, 1968 in Melton Mowbray, Leicestershire, England as Adrian Philip Scarborough. He is an actor, known for Gosford Park (2001), Dirty Pretty Things (2002) and The History Boys (2006). He is married to Rose Blackshaw. They have two children.",Male,White,5000000
2193,Adriane Lenox,1956-09-11,Memphis,USA,65,"Adriane Lenox was born on September 11, 1956 in Memphis, Tennessee, USA. She is an actress, known for Black Snake Moan (2006), Red Lights (2012) and The Blind Side (2009).",Female,African-American,19000000
1779,Adrien Brody,1973-04-14,Woodhaven,USA,73,"Adrien Nicholas Brody was born in Woodhaven, Queens, New York, the only child of retired history professor Elliot Brody and Hungarian-born photographer Sylvia Plachy. He accompanied his mother on assignments for the Village Voice, and credits her with making him feel comfortable in front of the camera. Adrien attended the American Academy of ...",Male,White,10000000
2401,Aedin Mincks,2000-10-10,Georgia,USA,69,"The youngest of three children, Aedin was born in Georgia, October 10, 2000. Aedin got his start in acting at the age of 6, with a slew of commercial jobs including Orbit Gum, Verizon and Capital One as the Visigoth kid ""Garth Jr."", but quickly moved on to television and film thanks to his charming and fearless presence and no mess, no fuss ...",Male,White,5000000
246,Aeryk Egan,1978-08-15,,,,"Aeryk Egan is an actor, known for Flatliners (1990), Brooklyn Bridge (1991) and The Cure (1995).",Male,White,1200000
1326,Ahmed Best,1973-08-19,New York City,USA,73,"Ahmed Best was born on August 19, 1973 in New York City, New York, USA. He is an actor and producer, known for Star Wars: Episode I - The Phantom Menace (1999), Star Wars: Episode II - Attack of the Clones (2002) and Star Wars: Episode III - Revenge of the Sith (2005).",Male,African-American,3000000
2334,Ahna O'Reilly,1984-09-21,Palo Alto,USA,65,"Ahna O'Reilly was born on September 21, 1984 in Palo Alto, California, USA. She is an actress, known for The Help (2011), Forgetting Sarah Marshall (2008) and Fruitvale Station (2013).",Female,White,3000000
2109,Ahney Her,1992-07-13,Lansing,USA,63,"Ahney Her was born in Lansing, Michigan, USA as Whitney Cua Her. She is an actress, known for Gran Torino (2008), Batman v Superman: Dawn of Justice (2016) and Night Club (2011).",Female,Asian,500000
723,Aidan Quinn,1959-03-08,Chicago,USA,72,"Aidan Quinn was born on March 8, 1959 in Chicago, Illinois, USA as Aidan T. Quinn. He is an actor, known for Practical Magic (1998), Benny Joon (1993) and Flipped (2010). He has been married to Elizabeth Bracco since September 1, 1987. They have two children.",Male,White,12000000
1768,Al Gore,1948-03-31,Washington,USA,73,"Al Gore was born on March 31, 1948 in Washington, District of Columbia, USA as Albert Arnold Gore Jr. He is an actor, known for An Inconvenient Truth (2006), An Inconvenient Sequel: Truth to Power (2017) and Futurama: Bender's Big Score (2007). He has been married to Tipper Gore since May 19, 1970. They have four children.",Male,White,300000000
274,Al Pacino,1940-04-25,Manhattan,USA,67,"Alfredo James ""Al"" 'Pacino established himself as a film actor during one of cinema's most vibrant decades, the 1970s, and has become an enduring and iconic figure in the world of American movies. He was born April 25, 1940 in Manhattan, New York City, to Italian-American parents, Rose (nee Gerardi) and Sal Pacino. They divorced when he was young. ...",Male,White,120000000
2234,Alain Chabat,1958-11-24,Oran,France,69,"Born in Oran, French Algeria in 1958, Alain Chabat moved with his family to Massy, a suburb of Paris, as the Algeria War came to an end in 1963 . in 1987 he started a comedy sketch group for television called Les Nuls which developed a cult following.His acting career led to four Cesar awards for films and a gig dubbing the character of Shrek for ...",Male,Algerian,94000000
1909,Aaron Michael Drozin,1998-05-30,California,USA,,"Aaron Michael Drozin was born on May 30, 1998 in California, USA. He is an actor, known for Fun with Dick and Jane (2005), The Nutcracker in 3D (2010) and The Ant Bully (2006).",Male,White,15000000
2575,Aaron Taylor-Johnson,1990-06-13,High Wycombe,UK,61,"Aaron Taylor-Johnson is an English stage, television, and film actor. He was born Aaron Perry Johnson in High Wycombe, Buckinghamshire, to Sarah and Robert Johnson, a civil engineer. He has a sister, Gemma Johnson, who had a small role in his movie Tom Thomas (2002). Aaron is of English-Russian Jewish descent. He began performing at age six, ...",Male,White,16000000
1442,Allen Payne,1968-07-07,Harlem,USA,61,"Allen Payne was born on July 7, 1968 in Harlem, New York City, New York, USA. He is an actor, known for New Jack City (1991), The Perfect Storm (2000) and Vampire in Brooklyn (1995).",,,5000000
1254,Allison Janney,1959-11-19,Dayton,USA,72,"Allison Janney is an award-winning actress who has earned a solid reputation in stage productions and in many supporting roles on screen, and who more recently has become prominent by portraying one of the major characters in the popular TV series The West Wing (1999). Entertainment Weekly magazine describes Janney's screen presence as ""uncommonly ...",,,14000000
2045,Allison Karman,1970-01-01,,,,"Allison Karman is an actress and producer, known for Alvin and the Chipmunks (2007), The Fall of 1980 (2013) and Redbelt (2008).",,,1000000
1533,Alun Armstrong,1946-07-17,Annfield Plain,UK,61,"Alun Armstrong was born on July 17, 1946 in Annfield Plain, County Durham, England as Robert Alun Armstrong. He is an actor, known for Krull (1983), The Mummy Returns (2001) and Sleepy Hollow (1999). He has been married to Susan J. Bairstow since 1977. They have three children.",,,84000000
17,Alvin M. Sugarman,,,,,,Female,White,
1245,Alyson Hannigan,1974-03-24,Washington,USA,64,"Alyson Hannigan was born in Washington, D.C., to Emilie (Posner), a real estate agent, and Al Hannigan, a truck driver. She began her acting career in Atlanta at the young age of 4 in commercials sponsoring such companies as McDonald's, Six Flags, and Oreos. She is a seasoned television actress veteran, guest starring in Picket Fences (1992), ...",,,40000000
1679,Alyson Stoner,1993-08-11,Toledo,USA,64,"Alyson Stoner got her start as a triple threat on the Disney Channel, co-hosting ""Mike's Super Short Show"". By age seven, she won the hearts of an older generation as the ""Little Pigtailed Dancer"" in Missy Elliott's music video, Missy Elliott: Work It (2002). Since her early reign, Alyson has become a powerhouse heavy-weight with blockbuster ...",Female,,1500000
1883,Amanda Bynes,1986-04-03,Thousand Oaks,USA,68,"Amanda Laura Bynes was born on April 3, 1986, in Thousand Oaks, California, the youngest of three children of Lynn (Organ), a dental assistant, and Richard Bynes, a dentist. Her father is of Lithuanian, Irish, and Polish descent, and her mother is from an Ashkenazi Jewish family from Toronto. Amanda became interested in acting and performing from ...",,,3000000
1050,Amanda Donohoe,1962-06-29,London,UK,68,"Award winning Actor Amanda Donohoe trained at the Royal Central school of Speech and Drama. In a career spanning more than 30 years she has appeared in a variety of productions on Stage, Screen and Television in the UK and USA. She won a Golden Globe for her role in the multi award winning TV series LA LAW, co-starred in the Oscar winning film The...",,,17000000
2556,Amanda Farinos,,,,,"Amanda Farinos is known for her work on The Lego Movie (2014), The Legend of Tarzan (2016) and Victor Frankenstein (2015).",Female,,
1704,Amanda Peet,1972-01-11,New York City,USA,66,"Amanda Peet was born and raised in New York City. She is the daughter of Penny (Levy), a social worker, and Charles Peet, a lawyer, and has an older sister. Her father was of mostly English and German ancestry, and her mother was from a Jewish family (from Germany, Russia, and Hungary). Peet's great-grandfathers were politician Samuel Levy and ...",,,100000000
684,Amanda Plummer,1957-03-23,New York City,USA,64,"The daughter of Canadian actor Christopher Plummer and American actress Tammy Grimes, Amanda Plummer was born in New York City on March 23, 1957. Her breakthrough role came when she starred opposite Robin Williams in The Fisher King (1991). However, Plummer may be best remembered for her work in the Quentin Tarantino classic Pulp Fiction (1994). ...",,,5000000
2123,Amanda Seyfried,1985-12-03,Allentown,USA,62,"Amanda Seyfried was born and raised in Allentown, Pennsylvania, to Ann (Sander), an occupational therapist, and Jack Seyfried, a pharmacist. She is of German, and some English and Scottish, ancestry. She began modeling when she was eleven, and acted in high school productions as well as taking singing lessons. More soap work followed as she ...",Female,,12000000
1690,Amaury Nolasco,1970-12-24,Puerto Rico,,61,"Amaury Nolasco was born on December 24, 1970 in Puerto Rico as Amaury Nolasco Garrido. He is an actor and producer, known for Prison Break (2005), Transformers (2007) and A Good Day to Die Hard (2013).",,,2000000
414,Amber Scott,1984-10-10,,USA,63,"Amber Scott was born on October 10, 1984 in the USA. She is an actress, known for Hook (1991), Cannonball (2019) and American Experience (1988).",Female,,
2541,Amber Stevens West,1986-10-07,Los Angeles,USA,69,"Stevens was born in Los Angeles, California. She is the daughter of actor and radio announcer Shadoe Stevens, and former model Beverly Cunningham. She has a younger sister named Chyna Stevens (Chyna Rose Stevens). She is a graduate of Beverly Hills High School. Her father is Caucasian (of Norwegian, German, English, and Dutch descent) and her ...",Female,,3000000
1581,Amber Tamblyn,1983-05-14,Santa Monica,USA,67,"Amber Rose Tamblyn was born May 14, 1983 in Santa Monica, California. Amber caught an agent's eye at the age of ten after a performance in ""Pippi Longstocking"". She has appeared in Live Nude Girls (1995) and Johnny Mysto: Boy Wizard (1997). In addition, her most popular role has been the role of ""Emily Bowen-Quartermaine"" of the popular soap ...",,,3000000
1872,Amber Valletta,1974-02-09,Phoenix,USA,69,"Amber Valletta was born in Phoenix, Arizona, USA as Amber Evangeline Valletta. She is an actress, producer and model. She began her career as a fashion model. Valletta was married to Olympic volleyball player Chip McCaw with whom she has a son, Auden. Valletta endorsed Democrat President Barack Obama for re-election in 2012. In July 2014, Valletta...",,,16000000
2310,America Ferrera,1984-04-18,Los Angeles,USA,61,"America Georgine Ferrera (born April 18, 1984) is an American actress. She is known for her leading role as Betty Suarez on the American Broadcasting Company's comedy-drama television series Ugly Betty (2006-10). Her acting garnered critical acclaim, and she won the Golden Globe Award for Best Actress - Television Series Musical or Comedy, the ...",Female,,16000000
2485,Amitabh Bachchan,1942-10-11,Allahabad,India,72,"Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But they did use one of his other assets, his deep ...",,,400000000
1975,Amy Adams,1974-08-20,Vicenza,Italy,64,"Amy Lou Adams was born in Vicenza, Veneto, Italy, to American parents, Kathryn (Hicken) and Richard Kent Adams, a U.S. serviceman who was stationed at Caserma Ederle in Italy at the time. She was raised in a Mormon family of seven children in Castle Rock, Colorado, and has English, as well as smaller amounts of Danish, Swiss-German, and Norwegian,...",Female,White,60000000
1783,Amy Hill,1953-05-09,Deadwood,USA,,"Amy Hill's television and film credits number over 168. She is recurring on ""Crazy Ex Girlfriend"", ""UnReal"", ""Preacher"" and ""MOM"". She's a regular on Amazon Prime's ""Just Add Magic"" which is streaming the first, second and season 2 part 2. As a voice actor, she's been heard as recurring characters on numerous shows including American Dad, Lilo and...",,,3000000
29,Amy Madigan,1950-09-11,Chicago,USA,66,"In the 1960s, Amy attended St. Philip Neri grammar school and Aquinas High School, both in Chicago, where she performed in school plays and was known as the school tomboy. In the early 1970s, Amy was featured in Playboy Magazine wearing only jelly, to promote her music band, Jelly. Amy is the daughter of John Madigan, a media personality in Chicago, Illinois.",Female,White,25000000
103,Amy O'Neill,1971-07-08,,USA,,,Female,White,
2142,Amy Poehler,1971-09-16,Burlington,USA,62,"Amy Meredith Poehler was born in Newton, Massachusetts, to high school teachers Eileen Frances (Milmore) and William Grinstead Poehler. Her brother is comedian Greg Poehler. She is of Irish (from her mother) and English, Irish, German, and Portuguese (from her father) descent. Amy was first involved with sketch comedy when she joined the group My ...",Female,White,25000000
1927,Amy Sedaris,1961-03-29,Endicott,USA,61,"Amy Sedaris was born on March 29, 1961 in Endicott, New York, USA as Amy Louise Sedaris. She is an actress and writer, known for Strangers with Candy (1999), Puss in Boots (2011) and Elf (2003).",Female,White,12000000
2494,Amy Warren,1968-02-24,,,,"Amy Warren is an actress, known for Gravity (2013), Mistress America (2015) and Law Order (1990). She has been married to Bryn Magnus since December 21, 2001.",Female,,14000000
171,Amy Yasbeck,1962-09-12,Cincinnati,USA,65,"Amy Yasbeck was born on September 12, 1962 in Cincinnati, Ohio, USA as Amy Marie Yasbeck. She is an actress, known for The Mask (1994), Robin Hood: Men in Tights (1993) and Pretty Woman (1990). She was previously married to John Ritter.",Female,White,16000000
572,Andie MacDowell,1958-04-21,Gaffney,USA,68,"Andie MacDowell was born Rosalie Anderson MacDowell on April 21, 1958 in Gaffney, South Carolina, to Pauline Johnston (Oswald), a music teacher, and Marion St. Pierre MacDowell, a lumber executive. She was enrolled at Winthrop College located in Rock Hill, South Carolina. Initially discovered by a rep from Wilhelmina Models while on a trip to Los ...",Male,,25000000
1166,Andre B. Blake,1990-11-21,,USA,74,"Andre B. Blake is known for his work on Philadelphia (1993), Spider-Man 3 (2007) and The Manchurian Candidate (2004).",Male,,19000000
438,Andre Bernard,,,,,,Male,,
2066,Andre Braugher,1962-07-01,Chicago,USA,72,"Andre Braugher was born on July 1, 1962 in Chicago, Illinois, USA as Andre Keith Braugher. He is an actor and producer, known for Homicide: Life on the Street (1993), Frequency (2000) and The Mist (2007). He has been married to Ami Brabson since December 28, 1991. They have three children.",,,8000000
1153,Andrea Martin,1947-01-15,Portland,USA,64,"Andrea Martin was born on January 15, 1947 in Portland, Maine, USA as Andrea Louise Martin. She is an actress and writer, known for My Big Fat Greek Wedding (2002), My Big Fat Greek Wedding 2 (2016) and Hedwig and the Angry Inch (2001).",,,1000000
664,Andreas Katsulas,1946-05-18,St. Louis,USA,72,"Born in St. Louis, Missouri, Andreas from a working-class Greek-American family. Attracted from early childhood to being on stage when at 4 his mother took him to see a community theater performance, he took theatre as an extra-curricular activity in high school. He then majored in it at St. Louis University, where he worked his way through school...",,,
564,Andrew Bryniarski,1969-02-13,Philadelphia,USA,77,"Andrew Bryniarski was born on February 13, 1969 in Philadelphia, Pennsylvania. The 6' 5"" is a former bodybuilder. He came to Hollywood for a short summer vacation to visit a friend, was spotted by a talent scout, who set up a screen test for Joel Silver, and all of a sudden he was acting alongside Bruce Willis and James Coburn in Hudson Hawk (1991)...",Male,White,300000
1375,Andrew Chavez,,,,,"Andrew Chavez is an actor, known for Traffic (2000).",,,
259,Andrew Divoff,1955-07-02,San Tome,Venezuela,73,"Andrew Daniel Divoff is a Russian film, television actor and stuntman, best known for playing the evil Djinn in the first two Wishmaster films and the villains Cherry Ganz in Another 48 Hrs., Ernesto Mendoza in A Low Down Dirty Shame, Boris Bazylev in Air Force One, Ivan Sarnoff in CSI: Miami and Mikhail Bakunin in Lost. He was born on July 2, ...",Male,White,
2063,Andrew Friedman,1976-11-13,Houston,USA,68,"Andrew Friedman is an actor and writer, known for It's Always Sunny in Philadelphia (2005), GLOW (2017) and Live Free or Die Hard (2007). He has been married to Cara DiPaolo since 2003.",Male,,10000000
2447,Andrew Garfield,1983-08-20,Los Angeles,USA,61,"Andrew Russell Garfield was born in Los Angeles, California, to a British mother, Lynn (Hillman), and father, Richard Garfield. When he was three, he moved to Surrey, U.K., with his parents and older brother. He is of English and Polish Jewish heritage. Andrew was raised in a middle class family, and attended a private school, the City of London ...",Male,,13000000
2264,Andrew Havill,1965-0-0,UK,,74,"Andrew Havill was born in 1965 in the UK. He is an actor, known for The King's Speech (2010), Les Miserables (2012) and Cloud Atlas (2012).",,,
833,Andrew Kevin Walker,1964-08-14,Altoona,USA,,"Andrew Kevin Walker was born on August 14, 1964 in Altoona, Pennsylvania, USA. He is a writer and actor, known for Se7en (1995), Sleepy Hollow (1999) and 8MM (1999).",,,2000000
885,Andrew Weir,1980-12-26,Ayr,UK,,"Away from the stage and silver screen this versatile actor is a keen follower of Ayr Utd FC and the Scotland National Team. He is also one of the founders of the highly successful company ""3rd Degrees Burns"" His work in this field has been appreciated by audience worldwide and various festivals and events. In all Andrew Weir is a true champion of ...",,,
1741,Andy Arness,1959-12-31,Everett,USA,75,"Andy Arness was born on December 31, 1959 in Everett, Washington, USA as Andrew Aaron Arness. He is known for his work on The Matrix Reloaded (2003), Chance (2016) and Valley of the Heart's Delight (2006). He has been married to Doreen Brown since 2000. They have one child. He was previously married to Teddy Baxter and Debbie Merrill.",,,
277,Andy Garcia,1956-04-12,Havana,Cuba,69,"One of Hollywood's most private and guarded leading men, Andy Garcia has created iconic characters while at the same time staying true to his acting roots and personal projects. Garcia was born Andr�s Arturo Garc�a Men�ndez on April 12, 1956, in Havana, Cuba, to Amelie Men�ndez, a teacher of English, and Ren� Garc�a N��ez, an attorney and avocado ...",Male,,20000000
1840,Andy Pellick,,Pittsburgh,USA,,"Andy Pellick is an actor, known for The Polar Express (2004) and Winter's Tale (2014).",,,
1501,Andy Richter,1966-10-28,Grand Rapids,USA,73,"Andy Richter was born in Grand Rapids, Michigan, the second of four children of Glenda (Palmer), a kitchen cabinet designer, and Laurence R. Richter, who taught Russian at Indiana University. He was raised in Yorkville, Illinois. His parents divorced when he was four. Richter attended the University of Illinois Urbana/Champaign and then moved to ...",Male,,10000000
1007,Andy Romano,1941-06-15,USA,,,"Andy Romano was born on June 15, 1941 in the USA. He is an actor, known for Under Siege (1992), Major League (1989) and Eraser (1996).",,,
2414,Andy Samberg,1978-08-18,Berkeley,USA,69,"Andy Samberg was born in Berkeley, California, to Marjorie (Marrow), a teacher, and Joe Samberg, a photographer. With Jorma Taccone and Akiva Schaffer, Samberg is one of three Los Angeles, California-based writer-performer-filmmakers--all childhood friends--dubbed The Lonely Island, whose short films were showcased on the popular untelevised ...",Male,,20000000
1940,Andy Serkis,1964-04-20,Ruislip,UK,68,"English film actor, director and author Andy Serkis is known for his performance capture roles comprising motion capture acting, animation and voice work for such computer-generated characters as Gollum in The Lord of the Rings film trilogy (2001-2003) and The Hobbit: An Unexpected Journey (2012), the eponymous King Kong in the 2005 film, Caesar ...",Male,,18000000
187,Angela Goethals,1977-05-20,New York City,USA,64,"Angela Goethals was born on May 20, 1977 in New York City, New York, USA as Angela Bethany Goethals. She is an actress, known for Home Alone (1990), Jerry Maguire (1996) and Spanglish (2004). She has been married to Russell Soder since 2005. They have one child.",Female,White,
338,Angela Lansbury,1925-10-16,Regent's Park,UK,68,"The daughter of an actress and the granddaughter of a high-ranking politician, Angela Brigid Lansbury studied acting from her youth, departing for the United States in 1940 during the Battle of Britain. She was contracted by MGM while still a teenager and nominated for an Academy Award for her first film, Gaslight (1944). Two pictures later, she ...",Female,White,70000000
574,Angela Paton,1930-01-11,Brooklyn,USA,,"Paton was described as a ""natural comic"" and one of the ""legends of the local stage"" of San Francisco. She is a veteran of the American Conservatory Theater (A.C.T.), and also one of A.C.T.'s leading actresses in its first few seasons. After leaving A.C.T. in the early 1970s, Paton and her husband founded and ran the Berkeley Stage Company for a ...",Female,,
1538,Angelina Jolie,1975-06-04,Los Angeles,USA,66,"Angelina Jolie is an Academy Award-winning actress who rose to fame after her role in Girl, Interrupted (1999), playing the title role in the ""Lara Croft"" blockbuster movies, as well as Mr. Mrs. Smith (2005), Wanted (2008), Salt (2010) and Maleficent (2014). Off-screen, Jolie has become prominently involved in international charity projects,...",,,120000000
1905,Angie Harmon,1972-08-10,Dallas,USA,69,"Angie Harmon was born on August 10, 1972 in Dallas, Texas, USA as Angela Michelle Harmon. She is an actress and director, known for Agent Cody Banks (2003), Rizzoli Isles (2010) and Law Order (1990). She was previously married to Jason Sehorn.",Female,,30000000
1663,Angus T. Jones,1993-10-08,Austin,USA,67,"Angus T. Jones was born on October 8, 1993 in Austin, Texas, USA as Angus Turner Jones. He is an actor, known for Two and a Half Men (2003), The Rookie (2002) and Bringing Down the House (2003).",,,20000000
1969,Anika Noni Rose,1972-09-06,Bloomfield,USA,62,"Tony Award winner Anika Noni Rose recently finished filming the lead role of the pilot episode Beast Mode (TBS / Macro), which is based on life of legendary boxing trainer Ann Wolfe. Anika is also serving as Co-Executive Producer. In 2018, Anika starred in the title role of 'Carmen Jones' in John Doyle's production at the Classic Stage Company in ...",Female,,3000000
2100,Anil Kapoor,1956-12-24,Chembur,India,67,"Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary. A loner, without many friends, he studied in the nearby O.L.P.S. (Our Lady of Perpetual Succor) School, and...",,,12000000
366,Anjelica Huston,1951-07-08,Santa Monica,USA,61,"Anjelica Huston was born on July 8, 1951 in Santa Monica, California, to prima ballerina Enrica ""Ricki"" (Soma) and director and actor John Huston. Her mother, who was from New York, was of Italian descent, and her father had English, Scottish, and Scots-Irish ancestry. Huston spent most of her childhood overseas, in Ireland and England, and in ...",Female,White,50000000
527,Ann Cusack,1961-05-22,Brooklyn,USA,68,"Ann Cusack was born on May 22, 1961 in Brooklyn, New York, USA. She is an actress, known for Grosse Pointe Blank (1997), Tank Girl (1995) and Accepted (2006).",Female,White,
808,Ann Morgan Guilbert,1928-10-16,Minneapolis,USA,61,"Ann Morgan Guilbert was best-known to television audiences as the Rob and Laura Petrie's neighbor Millie Helper on The Dick Van Dyke Show (1961) and as Fran Fein's feisty Grandma Yetta on The Nanny (1993). She gave memorable performances in film and television and on stage throughout her distinguished career, and recently starred in Nicole ...",Female,,
630,Ann-Margret,1941-04-28,Valsjabyn,Sweden,63,"Actress and singer Ann-Margret is one of the most famous sex symbols and actresses of the 1960s and beyond. She continued her career through the following decades and into the 21st century. Ann-Margret was born Ann-Margret Olsson in Valsj�byn, J�mtland County, Sweden, to Anna Regina (Aronsson) and Carl Gustav Olsson, who worked for an electrical ...",Female,White,
2335,Anna Camp,1982-09-27,Aiken,USA,65,"Anna Camp grew up in South Carolina and is the daughter of Dee and Thomas Camp. Anna graduated from the University of North Carolina School of the Arts in 2004. She then moved to New York City and has appeared in films and television shows since 2007. From 2009 to 2014, she starred in the series True Blood (2008) as Sarah Newlin. She had a main ...",Female,,4000000
1352,Anna Faris,1976-11-29,Baltimore,USA,64,"Anna Kay Faris was born on November 29, 1976 in Baltimore, Maryland, to Karen (Bathurst), a special education teacher, and Jack Faris, a sociologist. She was raised in Edmonds, Washington. Her ancestry includes English, German, Scottish, French, Dutch, and Welsh. Anna started acting very young but not professionally. She loved watching theatrical ...",,,30000000
2207,Anna Kendrick,1985-08-09,Portland,USA,62,"Anna Kendrick was born in Portland, Maine, to Janice (Cooke), an accountant, and William Kendrick, a teacher. She has an older brother, Michael Cooke Kendrick, who has also acted. She is of English, Irish, and Scottish descent. For her role as ""Dinah"" in ""High Society"" on Broadway, Anna Kendrick was nominated for a Tony Award (second youngest ever)...",Female,,20000000
