movieid,actorid,character_name,creditorder,pay,screentime
10,71,Martin Riggs,1,,
10,72,Roger Murtaugh,2,,
10,73,Leo Getz,3,,
10,74,Arjen Rudd,4,,
10,75,Pieter Vorstedt,5,,
10,76,Rika Van Den Haas,6,,
10,77,Trish Murtaugh,7,,
10,78,Rianne Murtaugh,8,,
10,79,Captain Murphy,9,,
11,80,Oliver Rose,1,,
11,81,Barbara Rose,2,,
11,82,Gavin D'Amato,3,,
11,83,Susan,4,,
11,84,Josh at 17,5,,
11,85,Carolyn at 17,6,,
11,86,Harry Thurmont,7,,
11,87,Jason Larrabee,8,,
11,88,Man in Chair,9,,
12,89,Clark,1,,
12,90,Ellen,2,,
12,91,Audrey,3,,
12,92,Rusty,4,,
12,93,"Clark, Sr.",5,,
12,94,Nora,6,,
12,95,Art,7,,
12,96,Francis,8,,
12,97,Cousin Eddie Johnson,9,,
13,66,Wayne Szalinski,1,,
13,98,Big Russ Thompson,2,,
13,99,Diane Szalinski,3,,
13,100,Mae Thompson,4,,
13,101,Little Russ Thompson,5,,
13,102,Ron Thompson,6,,
13,103,Amy Szalinski,7,,
13,104,Nick Szalinski,8,,
13,105,Tommy Pervis,9,,
14,106,Batman,1,,00:32:30
14,107,Joker,2,,00:32:15
14,108,Vicki Vale,3,,00:29:00
14,109,Alexander Knox,4,,00:08:45
14,110,Commissioner Gordon,5,,00:04:30
14,111,Harvey Dent,6,,00:02:45
14,112,Alfred,7,,00:04:15
14,113,Grissom,8,,00:03:30
14,114,Alicia,9,,
15,115,Dr. Peter Venkman,1,,
15,12,Dr. Raymond Stantz,2,,
15,116,Dana Barrett,3,,
15,117,Dr. Egon Spengler,4,,
15,66,Louis Tully,5,,
15,118,Winston Zeddemore,6,,
15,119,Janine Melnitz,7,,
15,120,Dr. Janosz Poha,8,,
15,121,The Judge,9,,
16,122,Louis,1,,
16,123,Eric,2,,
16,124,Ariel,3,,
16,125,Ursula,4,,
16,126,Flotsam,5,,
16,127,Scuttle,6,,
16,128,Flounder,7,,
16,129,Triton,8,,
16,130,Carlotta,9,,
17,131,Marty McFly,1,,
17,132,Doctor Emmett Brown,2,,
17,133,Lorraine,3,,
17,134,Biff Tannen,4,,
17,135,Jennifer,5,,
17,136,Strickland,6,,
17,137,George McFly,7,,
17,138,3-D,8,,
17,139,Match,9,,
18,140,Indiana Jones,1,,
18,141,Professor Henry Jones,2,,
18,142,Marcus Brody,3,,
18,143,Elsa,4,,
18,144,Sallah,5,,
18,145,Walter Donovan,6,,
18,146,Young Indy,7,,
18,147,Vogel,8,,
18,148,Kazim,9,,
20,149,M'Lynn Eatenton,1,,
20,150,Truvy Jones,2,,
20,151,Ouiser Boudreaux,3,,
20,152,Annelle Dupuy Desoto,4,,
20,3,Clairee Belcher,5,,
20,153,Shelby Eatenton Latcherie,6,,
20,154,Drum Eatenton,7,,
20,155,Spud Jones,8,,
20,156,Jackson Latcherie,9,,
22,157,April O'Neil,1,,
22,158,Casey Jones,2,,
22,159,Raphael (voice),3,,
22,160,Leonardo,4,,
22,161,Leonardo,5,,
22,162,Donatello,6,,
22,163,Donatello,7,,
22,164,Michaelangelo,8,,
22,165,Michaelangelo,9,,
23,166,Edward Lewis,1,,
23,153,Vivian Ward,2,,
23,167,James Morse,3,,
23,168,Philip Stuckey,4,,
23,169,Kit De Luca,5,,
23,170,David Morse,6,,
23,171,Elizabeth Stuckey,7,,
23,172,Bridget,8,,
23,173,Barney Thompson,9,,
24,174,Kimble,1,,
24,175,Joyce,2,,
24,176,Phoebe,3,,
24,177,Miss Schlowski,4,,
24,178,Crisp,5,,
24,179,Eleanor Crisp,6,,
24,180,Dominic,7,,
24,181,Dominic,8,,
24,182,Sylvester's Mother,9,,
25,39,Kevin,1,,
25,73,Harry,2,,
25,183,Marv,3,,
25,184,Peter,4,,
25,185,Marley,5,,
25,186,Kate,6,,
25,187,Linnie,7,,
25,188,Buzz,8,,
25,189,Uncle Frank,9,,
26,71,Rick Jarmin,1,,
26,190,Marianne Graves,2,,
26,191,Eugene Sorenson,3,,
26,192,Albert Diggs,4,,
26,193,Joe Weyburn,5,,
26,194,Rachel Varney,6,,
26,195,Marvin,7,,
26,196,Lou Baird,8,,
26,197,Raun,9,,
27,198,Paul Sheldon,1,,
27,199,Annie Wilkes,2,,
27,200,Buster,3,,
27,201,Virginia,4,,
27,202,Marcia Sindell,5,,
27,203,Libby,6,,
27,204,Pete,7,,
27,205,Anchorman (as Tom Brunelle),8,,
27,206,Anchorwoman,9,,
28,207,Edward Scissorhands,1,,
28,208,Kim,2,,
28,64,Peg,3,,
28,209,Jim,4,,
28,210,Joyce,5,,
28,104,Kevin,6,,
28,211,Helen,7,,
28,212,Marge,8,,
28,213,Officer Allen,9,,
29,214,Sam Wheat,1,,
29,215,Molly Jensen,2,,
29,216,Carl Bruner,3,,
29,217,Elevator Man,4,,
29,218,Elevator Man,5,,
29,219,Susan,6,,
29,220,Rose (as Martina Degnan),7,,
29,221,Mover (as Richard Kleber),8,,
29,222,Mover,9,,
30,140,Rusty Sabich,1,,
30,223,Raymond Horgan,2,,
30,224,Sandy Stern,3,,
30,225,Barbara Sabich,4,,
30,226,Judge Larren Lyttle,5,,
30,227,Carolyn Polhemus,6,,
30,228,Detective Dan Lipranzer,7,,
30,229,Tommy Molto,8,,
30,230,Nico Della Guardia,9,,
31,28,Lieutenant Dunbar,1,,
31,231,Stands With A Fist,2,,
31,232,Kicking Bird,3,,
31,233,Wind In His Hair,4,,
31,234,Ten Bears,5,,
31,235,Black Shawl,6,,
31,236,Timmons,7,,
31,237,Lieutenant Elgin,8,,
31,238,Major Fambrough,9,,
32,239,Nelson Wright,1,,
32,153,Dr. Rachel Mannus,2,,
32,240,David Labraccio,3,,
32,241,Joe Hurley,4,,
32,242,Randy Steckle,5,,
32,243,Winnie Hicks,6,,
32,244,Billy Mahoney,7,,
32,245,Rachel's Father,8,,
32,246,Young Nelson,9,,
33,141,Marko Ramius,1,,
33,247,Jack Ryan,2,,
33,248,Bart Mancuso,3,,
33,249,Captain Borodin,4,,
33,33,Admiral Greer,5,,
33,74,Andrei Lysenko,6,,
33,250,Jeffrey Pelt,7,,
33,251,Ivan Putin,8,,
33,252,Dr. Petrov,9,,
34,253,Reggie Hammond,1,,
34,254,Jack Cates,2,,
34,255,Ben Kehoe,3,,
34,256,Blake Wilson,4,,
34,257,Frank Cruise,5,,
34,258,Willie Hickok,6,,
34,259,Richard 'Cherry' Ganz,7,,
34,260,Kirkland Smith,8,,
34,261,Tyrone Burroughs,9,,
35,131,Marty McFly,1,5000000,
35,132,Dr. Emmett Brown,2,,
35,63,Clara Clayton,3,,
35,134,Buford 'Mad Dog' Tannen,4,,
35,133,Maggie McFly,5,,
35,135,Jennifer Parker,6,,
35,262,Chester the Bartender,7,,
35,263,Barbwire Salesman,8,,
35,264,"Jeb, Saloon Old-Timer #3",9,,
36,265,Dick Tracy,1,,
36,266,Kid,2,,
36,267,McGillicuddy,3,,
36,268,Stooge,4,,
36,269,Shoulders,5,,
36,270,The Rodent,6,,
36,271,The Brow,7,,
36,272,Little Face,8,,
36,273,Flattop,9,,
37,274,Don Michael Corleone,1,,
37,275,Kay Adams Michelson,2,,
37,276,Connie Corleone Rizzi,3,,
37,277,Vincent Mancini,4,,
37,278,Don Altobello,5,,
37,279,Joey Zasa,6,,
37,280,B.J. Harrison,7,,
37,281,Grace Hamilton,8,,
37,282,Mary Corleone,9,,
38,19,Cole Trickle,1,,
38,283,Dr. Claire Lewicki,2,,
38,284,Harry Hogge,3,,
38,97,Tim Daland,4,,
38,285,Russ Wheeler,5,,
38,286,Rowdy Burns,6,,
38,287,Big John,7,,
38,288,Buck Bretherton,8,,
38,289,Waddell,9,,
39,174,Quaid,1,,
39,290,Melina,2,,
39,291,Lori,3,,
39,292,Cohaagen,4,,
39,293,Richter,5,,
39,294,George,6,,
39,295,Benny,7,,
39,296,Helm,8,,
39,297,Dr. Edgemar,9,,
40,6,John McClane,1,,
40,225,Holly McClane,2,,
40,298,Thornberg,3,,
40,299,Al Powell,4,,
40,300,Esperanza,5,,
40,301,Stuart,6,,
40,302,Grant,7,,
40,303,Carmine Lorenzo,8,,
40,304,Barnes,9,,
41,199,Evelyn Couch,1,,
41,305,Idgie Threadgoode,2,,
41,306,Ruth Jamison,3,,
41,11,Ninny Threadgoode,4,,
41,307,Sipsey,5,,
41,308,Buddy Threadgoode,6,,
41,309,Big George,7,,
41,310,Ed Couch,8,,
41,311,Smokey Lonesome,9,,
42,312,Clarice Starling,1,,
42,313,FBI Instructor,2,,
42,314,Ardelia Mapp,3,,
42,315,Agent Burroughs,4,,
42,248,Jack Crawford,5,,
42,316,Dr. Frederick Chilton,6,,
42,317,Barney,7,,
42,318,Friendly Psychopath,8,,
42,319,Brooding Psychopath,9,,
43,153,Laura Burney,1,,
43,320,Martin Burney,2,,
43,321,Ben Woodward,3,,
43,322,Chloe Williams,4,,
43,323,Fleishman,5,,
43,324,Dr. Rissner,6,,
43,325,Locke,7,,
43,326,Julie,8,,
43,327,Garber,9,,
44,62,George Banks,1,,
44,275,Nina Banks,2,,
44,328,Annie Banks,3,,
44,329,Matty Banks,4,,
44,330,Bryan MacKenzie,5,,
44,331,Franck Eggelhoffer,6,,
44,332,Howard Weinstein,7,,
44,333,John MacKenzie,8,,
44,334,Joanna MacKenzie,9,,
47,335,Beast,1,,
47,336,Lefou,2,,
47,337,Maurice,3,,
47,338,Mrs. Potts,4,,
47,339,Belle,5,,
47,340,Lumiere,6,,
47,341,Chip,7,,
47,342,Cogsworth,8,,
47,343,Gaston,9,,
48,344,Topper Harley,1,,
48,285,Kent Gregory,2,,
48,345,Ramada Thompson,3,,
48,346,Admiral Benson,4,,
48,347,Lt. Commander Block,5,,
48,348,Jim 'Wash Out' Pfaffenbach,6,,
48,349,Pete 'Dead Meat' Thompson,7,,
48,350,Kowalski,8,,
48,351,Wilson,9,,
49,44,Mitch Robbins,1,,
49,183,Phil Berquist,2,,
49,47,Ed Furillo,3,,
49,352,Barbara Robbins,4,,
49,353,Bonnie Rayburn,5,,
49,113,Curly,6,,
49,354,Clay Stone,7,,
49,355,Cookie,8,,
49,356,Barry Shalowitz,9,,
50,357,Kirk,1,,
50,358,Spock,2,,
50,359,McCoy,3,,
50,360,Scotty,4,,
50,361,Chekov,5,,
50,362,Uhura,6,,
50,363,Sulu,7,,
50,364,Lt. Valeris,8,,
50,365,Sarek,9,,
51,366,Morticia Addams,1,,
51,224,Gomez Addams,2,,
51,132,Uncle Fester Addams,3,,
51,367,Tully Alford,4,,
51,368,Abigail Craven,5,,
51,369,Granny,6,,
51,370,Lurch,7,,
51,371,Margaret Alford,8,,
51,372,Judge Womack,9,,
52,254,Tom Wingo,1,,
52,373,Susan Lowenstein,2,,
52,374,Sally Wingo,3,,
52,375,Lila Wingo Newbury,4,,
52,376,Herbert Woodruff,5,,
52,377,Savannah Wingo,6,,
52,378,Eddie Detreville,7,,
52,379,Bernard Woodruff,8,,
52,380,Henry Wingo,9,,
53,115,Bob Wiley,1,,
53,381,Dr. Leo Marvin,2,,
53,382,Fay Marvin,3,,
53,266,Siggy Marvin,4,,
53,383,Anna Marvin,5,,
53,384,Mr. Guttman,6,,
53,385,Mrs. Guttman,7,,
53,386,Phil,8,,
53,387,Lily,9,,
54,388,Max Cady,1,,
54,254,Sam Bowden,2,,
54,389,Leigh Bowden,3,,
54,91,Danielle Bowden,4,,
54,390,Claude Kersek,5,,
54,391,Lieutenant Elgart,6,,
54,392,Lee Heller,7,,
54,393,Judge,8,,
54,394,Lori Davis,9,,
55,395,Rose Cheramie,1,,
55,396,Epileptic,2,,
55,397,Zapruder,3,,
55,398,John F. Kennedy - Double,4,,
55,399,Jackie Kennedy - Double,5,,
55,400,Nellie Connally - Double,6,,
55,401,Gov. Connally - Double,7,,
55,28,Jim Garrison,8,,
55,402,Lou Ivon,9,,
56,28,Robin of Locksley,1,,
56,10,Azeem,2,,
56,403,Marian,3,,
56,404,Will Scarlett,4,,
56,405,Sheriff of Nottingham,5,,
56,406,Mortianna,6,,
56,407,Friar Tuck,7,,
56,408,Lord Locksley,8,,
56,409,Guy of Gisborne,9,,
57,410,Captain Hook,1,,
57,53,Peter Banning,2,,
57,153,Tinkerbell,3,,
57,411,Smee,4,,
57,412,Granny Wendy,5,,
57,413,Moira Banning,6,,
57,266,Jack 'Jackie' Banning,7,,
57,414,Maggie Banning,8,,
57,415,"Liza, Wendy's Housekeeper",9,,
58,416,Stephen McCaffrey,1,,
58,241,Brian McCaffrey,2,,
58,388,Donald Rimgale,3,,
58,417,Ronald Bartel,4,,
58,418,Jennifer Vaitkus,5,,
58,248,John Adcox,6,,
58,419,Helen McCaffrey,7,,
58,420,Tim Krizminski,8,,
58,421,Marty Swayzak,9,,
59,174,The Terminator,1,,
59,422,Sarah Connor,2,,
59,423,John Connor,3,,
59,424,T-1000,4,,
59,425,Dr. Silberman,5,,
59,426,Miles Dyson,6,,
59,427,Tarissa Dyson,7,,
59,428,Enrique Salceda,8,,
59,429,Tim,9,,
60,430,Jody,1,,
60,431,Jude,2,,
60,432,Fergus,3,,
60,433,Maguire,4,,
60,434,Tinker (as Breffini McKenna),5,,
60,435,Eddie,6,,
60,436,Tommy (as Birdie Sweeney),7,,
60,437,Dil,8,,
60,438,Jane (as Andree Bernard),9,,
62,439,Bill Munny,1,,
62,440,Little Bill Daggett,2,,
62,10,Ned Logan,3,,
62,441,English Bob,4,,
62,442,The 'Schofield Kid',5,,
62,443,W.W. Beauchamp,6,,
62,444,Strawberry Alice,7,,
62,445,Delilah Fitzgerald,8,,
62,446,Quick Mike,9,,
63,39,Kevin,1,,
63,73,Harry,2,,
63,183,Marv,3,,
63,186,Kate,4,,
63,184,Peter,5,,
63,188,Buzz,6,,
63,447,Megan,7,,
63,448,Linnie,8,,
63,449,Jeff,9,,
64,450,Wayne Campbell,1,,
64,451,Garth Algar,2,,
64,452,Benjamin Oliver,3,,
64,453,Cassandra,4,,
64,454,Noah Vanderhoff,5,,
64,455,Stacy,6,,
64,456,Alan,7,,
64,457,Neil,8,,
64,458,Terry,9,,
65,28,Frank Farmer,1,,
65,459,Rachel Marron,2,,
65,460,Sy Spector,3,,
65,461,Devaney,4,,
65,462,Herb Farmer,5,,
65,463,Portman,6,,
65,464,Nicki,7,,
65,465,Tony,8,,
65,466,Henry,9,,
66,467,Aladdin,1,,
66,53,Genie,2,,
66,468,Princess Jasmine,3,,
66,469,Jafar,4,,
66,470,Abu,5,,
66,471,Iago,6,,
66,472,Sultan,7,,
66,473,Gazeem,8,,
66,474,Additional Voices (voice),9,,
67,475,Sidney Deane,1,,
67,476,Billy Hoyle,2,,
67,477,Gloria Clemente,3,,
67,478,Rhonda Deane,4,,
67,479,Robert,5,,
67,480,Junior,6,,
67,481,George,7,,
67,482,Walter,8,,
67,483,Raymond,9,,
68,484,Deloris,1,,
68,412,Mother Superior,2,,
68,485,Mary Patrick,3,,
68,486,Mary Robert,4,,
68,487,Mary Lazarus,5,,
68,488,Vince LaRocca,6,,
68,489,Eddie Souther,7,,
68,490,Joey,8,,
68,491,Willy,9,,
69,274,Lt. Col. Frank Slade,1,,
69,308,Charlie Simms,2,,
69,492,Mr. Trask,3,,
69,493,Donna,4,,
69,494,"George Willis, Jr.",5,,
69,495,W.R. Slade,6,,
69,496,Randy,7,,
69,497,Gretchen,8,,
69,498,Gail,9,,
70,71,Martin Riggs,1,,
70,72,Roger Murtaugh,2,,
70,73,Leo Getz,3,,
70,499,Lorna Cole,4,,
70,500,Jack Travis,5,,
70,79,Captain Murphy,6,,
70,77,Trish Murtaugh,7,,
70,78,Rianne Murtaugh,8,,
70,501,Nick Murtaugh,9,,
71,502,Casey Ryback,1,,
71,503,Tackman,2,,
71,504,Granger,3,,
71,505,Flicker,4,,
71,506,Cue Ball,5,,
71,507,Captain Adams,6,,
71,508,Commander Krill,7,,
71,509,Ensign Taylor,8,,
71,510,Lt. Smart,9,,
72,253,Marcus,1,,
72,511,Jacqueline,2,,
72,512,Angela,3,,
72,513,Gerard,4,,
72,514,Tyler,5,,
72,515,Strangï¿½,6,,
72,516,Nelson,7,,
72,517,Lady Eloise,8,,
72,518,Bony T,9,,
73,519,Jimmy Dugan,1,,
73,520,C Dottie Hinson,2,,
73,521,P Kit Keller,3,,
73,522,C F Mae Mordabito,4,,
73,523,3B Doris Murphy,5,,
73,524,2B Marla Hooch,6,,
73,525,LF,7,,
73,526,RF Evelyn Gardner,8,,
73,527,LF Shirley Baker,9,,
74,528,Hawkeye (Nathaniel Poe),1,,
74,529,Cora Munro,2,,
74,530,Chingachgook,3,,
74,531,Uncas,4,,
74,532,Alice Munro,5,,
74,533,Maj. Duncan Heyward,6,,
74,534,Magua,7,,
74,535,Col. Edmund Munro,8,,
74,536,Gen Montcalm,9,,
75,537,Dracula,1,,
75,208,Mina Murray,2,,
75,538,Professor Abraham Van Helsing,3,,
75,69,Jonathan Harker,4,,
75,539,Dr. Jack Seward,5,,
75,285,Lord Arthur Holmwood,6,,
75,540,Quincey P. Morris,7,,
75,541,Lucy Westenra,8,,
75,542,R.M. Renfield,9,,
76,19,Lt. Daniel Kaffee,1,,
76,107,Col. Nathan R. Jessep,2,,
76,215,Lt. Cdr. JoAnne Galloway,3,,
76,240,Capt. Jack Ross,4,,
76,239,2nd. Lt. Jonathan Kendrick,5,,
76,543,Lt. Sam Weinberg,6,,
76,544,Pfc. Louden Downey,7,,
76,421,Lt. Col. Matthew Andrew Markinson,8,,
76,545,Dr. Stone,9,,
77,140,Jack Ryan,1,,
77,546,Cathy Ryan,2,,
77,320,Kevin O'Donnell,3,,
77,547,Sean Miller,4,,
77,548,Sally Ryan,5,,
77,549,Lord Holmes,6,,
77,550,Robby,7,,
77,551,Annette,8,,
77,552,Marty Cantor,9,,
78,80,Detective Nick Curran,1,,
78,291,Catherine Tramell,2,,
78,553,Gus,3,,
78,554,Dr. Beth Garner,4,,
78,555,Lieutenant Walker,5,,
78,556,Roxy,6,,
78,557,Andrews,7,,
78,558,Captain Talcott,8,,
78,559,Hazel Dobkins,9,,
79,106,Batman,1,,
79,82,Penguin,2,,
79,560,Catwoman,3,,
79,561,Max Shreck,4,,
79,112,Alfred,5,,
79,562,Mayor,6,,
79,563,Ice Princess,7,,
79,564,Chip,8,,
79,110,Commissioner Gordon,9,,
80,565,Derice Bannock,1,,
80,566,Sanka Coffie,2,,
80,567,Junior Bevil,3,,
80,568,Yul Brenner,4,,
80,37,Irv,5,,
80,21,Kurt Hemphill,6,,
80,569,Josef Grool,7,,
80,570,Roger,8,,
80,571,Larry,9,,
81,115,Phil,1,,
81,572,Rita,2,,
81,573,Larry,3,,
81,193,Ned,4,,
81,454,Buster,5,,
81,326,Nancy,6,,
81,574,Mrs. Lancaster,7,,
81,575,Gus,8,,
81,576,Ralph,9,,
82,577,Jesse,1,,
82,521,Rae Lindley,2,,
82,578,Annie Greenwood,3,,
82,579,Randolph Johnson,4,,
82,580,Glen Greenwood,5,,
82,293,Dial,6,,
82,581,Wade,7,,
82,582,Dwight Mercer,8,,
82,583,Perry,9,,
83,519,Sam Baldwin,1,,
83,584,Jonah Baldwin,2,,
83,585,Suzy,3,,
83,586,Greg,4,,
83,587,Rob,5,,
83,588,Maggie Baldwin,6,,
83,45,Annie Reed,7,,
83,589,Walter,8,,
83,590,Barbara Reed,9,,
84,591,Oskar Schindler,1,,
84,592,Itzhak Stern,2,,
84,593,Amon Goeth,3,,
84,413,Emilie Schindler,4,,
84,594,Poldek Pfefferberg,5,,
84,595,Helen Hirsch,6,,
84,596,Wiktoria Klonowska,7,,
84,597,Wilek Chilowicz,8,,
84,598,Marcel Goldberg,9,,
85,53,Daniel Hillard,1,,
85,149,Miranda Hillard,2,,
85,599,Stu,3,,
85,600,Frank,4,,
85,601,Gloria,5,,
85,602,Lydia Hillard,6,,
85,603,Chris Hillard,7,,
85,604,Natalie Hillard,8,,
85,605,Mr. Lundy,9,,
86,416,Wyatt Earp,1,,
86,606,Doc Holliday,2,,
86,607,Virgil Earp,3,,
86,608,Morgan Earp,4,,
86,609,Curly Bill Brocius,5,,
86,610,Johnny Ringo,6,,
86,611,Henry Hooker,7,,
86,612,Billy Breckinridge,8,,
86,613,Behan,9,,
87,519,Andrew 'Andy' Beckett,1,,
87,614,Joe Miller,2,,
87,615,Judge Tate,3,,
87,616,Crutches' - Courthouse Elevator,4,,
87,617,Dr. Gillman,5,,
87,618,Clinic Storyteller,6,,
87,619,Clinic Patient,7,,
87,620,Tyrone - Clinic Worker,8,,
87,621,Kenneth Killcoyne,9,,
88,622,Dave Kovic,1,,
88,116,Ellen Mitchell,2,,
88,623,Bob Alexander,3,,
88,347,Alan Reed,4,,
88,624,Duane Stevenson,5,,
88,592,Vice-President Nance,6,,
88,625,Murray Blum,7,,
88,626,Alice,8,,
88,627,Randi,9,,
89,628,John Gustafson,1,,
89,629,Max Goldman,2,,
89,630,Ariel Truax,3,,
89,631,Grandpa Gustafson,4,,
89,152,Melanie,5,,
89,543,Jacob Goldman,6,,
89,632,Chuck,7,,
89,633,Snyder,8,,
89,634,Mike,9,,
90,635,John,1,,
90,215,Diana Murphy,2,,
90,476,David Murphy,3,,
90,636,Mr. Shackleford,4,,
90,242,Jeremy,5,,
90,637,Day Tripper,6,,
90,638,Mr. Langford,7,,
90,639,Auction M.C.,8,,
90,640,Realtor,9,,
91,484,Deloris,1,,
91,485,Sister Mary Patrick,2,,
91,641,Father Maurice,3,,
91,487,Sister Mary Lazarus,4,,
91,642,Mr. Crisp,5,,
91,643,Father Ignatius,6,,
91,486,Sister Mary Robert,7,,
91,644,Florence Watson,8,,
91,236,Joey Bustamente,9,,
92,439,Frank Horrigan,1,,
92,645,Mitch Leary,2,,
92,499,Lilly Raines,3,,
92,156,Al D'Andrea,4,,
92,646,Bill Watts,5,,
92,287,Harry Sargent,6,,
92,647,Sam Campagna,7,,
92,648,Matt Wilder,8,,
92,649,President,9,,
93,141,Capt. John Connor,1,,
93,475,Lt. Webster Smith,2,,
93,488,Lt. Tom Graham,3,,
93,650,Eddie Sakamura,4,,
93,321,Bob Richmond,5,,
93,651,Yoshida-san,6,,
93,652,Senator John Morton,7,,
93,653,Ishihara,8,,
93,309,Phillips,9,,
94,19,Mitch McDeere,1,,
94,554,Abby McDeere,2,,
94,440,Avery Tolar,3,,
94,654,Oliver Lambert,4,,
94,655,Lamar Quinn,5,,
94,656,William Devasher,6,,
94,657,Wayne Tarrance,7,,
94,658,Tammy Hemphill,8,,
94,659,Ray McDeere,9,,
95,140,Dr. Richard Kimble,1,,
95,660,Samuel Gerard,2,,
95,661,Helen Kimble,3,,
95,662,Dr. Anne Eastman,4,,
95,663,Cosmo Renfro,5,,
95,664,Sykes,6,,
95,376,Dr. Charles Nichols,7,,
95,665,Biggs,8,,
95,666,Poole,9,,
96,153,Darby Shaw,1,,
96,614,Gray Grantham,2,,
96,155,Thomas Callahan,3,,
96,184,Gavin Vereek,4,,
96,216,Fletcher Coal,5,,
96,667,FBI Director Denton Voyles,6,,
96,298,Bob Gminski,7,,
96,668,President,8,,
96,669,Khamel,9,,
97,670,John Spartan,1,,
97,475,Simon Phoenix,2,,
97,671,Lenina Huxley,3,,
97,672,Dr. Raymond Cocteau,4,,
97,673,Alfredo Garcia,5,,
97,674,Chief George Earle,6,,
97,675,Associate Bob,7,,
97,676,Edgar Friendly,8,,
97,677,Zachary Lamb - Young,9,,
98,670,Gabe Walker,1,,
98,678,Qualen,2,,
98,286,Hal Tucker,3,,
98,679,Jessie Deighan,4,,
98,680,Travers,5,,
98,413,Kristel,6,,
98,565,Kynette,7,,
98,681,Delmar,8,,
98,682,Ryan,9,,
100,683,Pumpkin,1,,
100,684,Honey Bunny,2,,
100,685,Waitress,3,,
100,1,Vincent Vega,4,,
100,550,Jules Winnfield,5,,
100,686,Marvin,6,,
100,35,Brett,7,,
100,687,Roger,8,,
100,6,Butch Coolidge,9,,
101,688,Ace Ventura,1,,
101,689,Melissa Robinson,2,,
101,690,Lt. Lois Einhorn,3,,
101,691,Emilio,4,,
101,692,Dan Marino,5,,
101,354,Riddle,6,,
101,504,Roger Podacter,7,,
101,693,Woodstock,8,,
101,694,Ron Camp,9,,
102,688,Lloyd,1,,
102,695,Harry,2,,
102,696,Mary,3,,
102,465,Joe Mentalino,4,,
102,697,J.P. Shay,5,,
102,237,Nicholas Andre,6,,
102,698,Athletic Beauty,7,,
102,699,Barnard,8,,
102,700,Karl Swanson,9,,
103,701,Scott Calvin,1,,
103,702,Neal,2,,
103,703,Laura,3,,
103,704,Charlie,4,,
103,705,Bernard,5,,
103,706,Detective Nunzio,6,,
103,707,Ms. Daniels,7,,
103,708,Elf-Judy,8,,
103,709,Mr. Whittle,9,,
104,688,Stanley Ipkiss,1,,
104,710,Lt. Mitch Kellaway,2,,
104,711,Dorian,3,,
104,171,Peggy Brandt,4,,
104,712,Charlie Schumaker,5,,
104,713,Niko,6,,
104,714,Irv,7,,
104,715,Mrs. Peenman,8,,
104,716,Burt,9,,
105,69,Jack Traven,1,,
105,717,Howard Payne,2,,
105,671,Annie,3,,
105,426,Capt. McMahon,4,,
105,695,Harry,5,,
105,718,Stephens,6,,
105,719,Jaguar Owner,7,,
105,720,Norwood,8,,
105,721,Helen,9,,
106,722,Tristan,1,,
106,538,Ludlow,2,,
106,723,Alfred,3,,
106,724,Susannah,4,,
106,725,Samuel,5,,
106,726,Isabel Two,6,,
106,235,Pet,7,,
106,727,One Stab,8,,
